statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL015;15 years;68.7;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL028;28 years;55.84;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL092;92 years;3.17;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL002;2 years;81.62;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL057;57 years;24.22;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL044;44 years;35.9;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL076;76 years;12.42;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL031;31 years;48.36;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL089;89 years;4.67;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL063;63 years;22.8;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL050;50 years;34.49;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL009;9 years;69.97;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL093;93 years;2.93;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL027;27 years;56.83;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL014;14 years;69.7;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL034;34 years;45.46;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL001;1 year;82.6;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL047;47 years;33.09;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL021;21 years;58.12;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL088;88 years;5.08;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL075;75 years;13.17;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL062;62 years;23.66;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL096;96 years;2.34;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL070;70 years;14.4;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL083;83 years;6.49;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL039;39 years;45.05;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL081;81 years;7.52;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL059;59 years;22.57;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL013;13 years;70.69;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL026;26 years;57.82;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL000;0 years;83.36;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL046;46 years;34.02;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL033;33 years;46.42;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL020;20 years;59.1;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL074;74 years;13.92;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL087;87 years;5.53;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL061;61 years;24.52;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL095;95 years;2.52;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL082;82 years;6.99;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL038;38 years;46.02;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL005;5 years;73.95;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL025;25 years;58.8;years;LEB007;Average life expectancy [e(x)]
